model_pair,size,sum
"[""amazon-nova-experimental-chat-05-14"", ""amazon.nova-pro-v1:0""]",38,24
"[""amazon-nova-experimental-chat-05-14"", ""chatgpt-4o-latest-20250326""]",47,17
"[""amazon-nova-experimental-chat-05-14"", ""claude-3-5-haiku-20241022""]",26,16
"[""amazon-nova-experimental-chat-05-14"", ""claude-3-5-sonnet-20241022""]",46,32
"[""amazon-nova-experimental-chat-05-14"", ""claude-3-7-sonnet-20250219""]",43,29
"[""amazon-nova-experimental-chat-05-14"", ""claude-3-7-sonnet-20250219-thinking-32k""]",43,21
"[""amazon-nova-experimental-chat-05-14"", ""claude-opus-4-20250514""]",61,27
"[""amazon-nova-experimental-chat-05-14"", ""claude-opus-4-20250514-thinking-16k""]",57,21
"[""amazon-nova-experimental-chat-05-14"", ""claude-sonnet-4-20250514""]",52,24
"[""amazon-nova-experimental-chat-05-14"", ""claude-sonnet-4-20250514-thinking-32k""]",74,31
"[""amazon-nova-experimental-chat-05-14"", ""command-a-03-2025""]",41,16
"[""amazon-nova-experimental-chat-05-14"", ""deepseek-r1-0528""]",45,10
"[""amazon-nova-experimental-chat-05-14"", ""deepseek-v3-0324""]",37,15
"[""amazon-nova-experimental-chat-05-14"", ""gemini-2.0-flash-001""]",10,3
"[""amazon-nova-experimental-chat-05-14"", ""gemini-2.5-flash""]",79,24
"[""amazon-nova-experimental-chat-05-14"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",68,25
"[""amazon-nova-experimental-chat-05-14"", ""gemini-2.5-flash-preview-04-17""]",21,8
"[""amazon-nova-experimental-chat-05-14"", ""gemini-2.5-pro""]",80,22
"[""amazon-nova-experimental-chat-05-14"", ""gemini-2.5-pro-preview-05-06""]",8,2
"[""amazon-nova-experimental-chat-05-14"", ""gemma-3-27b-it""]",49,18
"[""amazon-nova-experimental-chat-05-14"", ""gemma-3n-e4b-it""]",20,14
"[""amazon-nova-experimental-chat-05-14"", ""gpt-4.1-2025-04-14""]",49,20
"[""amazon-nova-experimental-chat-05-14"", ""gpt-4.1-mini-2025-04-14""]",25,7
"[""amazon-nova-experimental-chat-05-14"", ""grok-3-mini-beta""]",31,11
"[""amazon-nova-experimental-chat-05-14"", ""grok-3-mini-high""]",42,13
"[""amazon-nova-experimental-chat-05-14"", ""grok-3-preview-02-24""]",27,7
"[""amazon-nova-experimental-chat-05-14"", ""grok-4-0709""]",18,5
"[""amazon-nova-experimental-chat-05-14"", ""hunyuan-turbos-20250416""]",15,6
"[""amazon-nova-experimental-chat-05-14"", ""kimi-k2-0711-preview""]",31,10
"[""amazon-nova-experimental-chat-05-14"", ""llama-3.3-70b-instruct""]",18,10
"[""amazon-nova-experimental-chat-05-14"", ""llama-4-maverick-03-26-experimental""]",24,8
"[""amazon-nova-experimental-chat-05-14"", ""llama-4-maverick-17b-128e-instruct""]",34,19
"[""amazon-nova-experimental-chat-05-14"", ""llama-4-scout-17b-16e-instruct""]",30,17
"[""amazon-nova-experimental-chat-05-14"", ""magistral-medium-2506""]",37,24
"[""amazon-nova-experimental-chat-05-14"", ""minimax-m1""]",59,19
"[""amazon-nova-experimental-chat-05-14"", ""mistral-medium-2505""]",63,27
"[""amazon-nova-experimental-chat-05-14"", ""mistral-small-2506""]",23,13
"[""amazon-nova-experimental-chat-05-14"", ""mistral-small-3.1-24b-instruct-2503""]",36,22
"[""amazon-nova-experimental-chat-05-14"", ""o3-2025-04-16""]",78,23
"[""amazon-nova-experimental-chat-05-14"", ""o3-mini""]",40,22
"[""amazon-nova-experimental-chat-05-14"", ""o4-mini-2025-04-16""]",29,10
"[""amazon-nova-experimental-chat-05-14"", ""qwen-max-2025-01-25""]",15,5
"[""amazon-nova-experimental-chat-05-14"", ""qwen3-235b-a22b""]",33,7
"[""amazon-nova-experimental-chat-05-14"", ""qwen3-235b-a22b-instruct-2507""]",6,3
"[""amazon-nova-experimental-chat-05-14"", ""qwen3-235b-a22b-no-thinking""]",78,27
"[""amazon-nova-experimental-chat-05-14"", ""qwen3-30b-a3b""]",28,6
"[""amazon-nova-experimental-chat-05-14"", ""qwq-32b""]",8,3
"[""amazon.nova-pro-v1:0"", ""chatgpt-4o-latest-20250326""]",102,16
"[""amazon.nova-pro-v1:0"", ""claude-3-5-haiku-20241022""]",76,48
"[""amazon.nova-pro-v1:0"", ""claude-3-5-sonnet-20241022""]",87,41
"[""amazon.nova-pro-v1:0"", ""claude-3-7-sonnet-20250219""]",89,44
"[""amazon.nova-pro-v1:0"", ""claude-3-7-sonnet-20250219-thinking-32k""]",132,63
"[""amazon.nova-pro-v1:0"", ""claude-opus-4-20250514""]",164,52
"[""amazon.nova-pro-v1:0"", ""claude-opus-4-20250514-thinking-16k""]",102,44
"[""amazon.nova-pro-v1:0"", ""claude-sonnet-4-20250514""]",146,64
"[""amazon.nova-pro-v1:0"", ""claude-sonnet-4-20250514-thinking-32k""]",84,23
"[""amazon.nova-pro-v1:0"", ""command-a-03-2025""]",115,39
"[""amazon.nova-pro-v1:0"", ""deepseek-r1-0528""]",101,18
"[""amazon.nova-pro-v1:0"", ""deepseek-v3-0324""]",93,25
"[""amazon.nova-pro-v1:0"", ""gemini-2.0-flash-001""]",60,19
"[""amazon.nova-pro-v1:0"", ""gemini-2.5-flash""]",176,43
"[""amazon.nova-pro-v1:0"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",61,18
"[""amazon.nova-pro-v1:0"", ""gemini-2.5-flash-preview-04-17""]",81,21
"[""amazon.nova-pro-v1:0"", ""gemini-2.5-pro""]",156,33
"[""amazon.nova-pro-v1:0"", ""gemini-2.5-pro-preview-05-06""]",67,12
"[""amazon.nova-pro-v1:0"", ""gemma-3-27b-it""]",76,23
"[""amazon.nova-pro-v1:0"", ""gemma-3n-e4b-it""]",28,14
"[""amazon.nova-pro-v1:0"", ""gpt-4.1-2025-04-14""]",72,15
"[""amazon.nova-pro-v1:0"", ""gpt-4.1-mini-2025-04-14""]",91,35
"[""amazon.nova-pro-v1:0"", ""grok-3-mini-beta""]",99,27
"[""amazon.nova-pro-v1:0"", ""grok-3-mini-high""]",29,11
"[""amazon.nova-pro-v1:0"", ""grok-3-preview-02-24""]",75,14
"[""amazon.nova-pro-v1:0"", ""grok-4-0709""]",17,3
"[""amazon.nova-pro-v1:0"", ""hunyuan-turbos-20250416""]",19,3
"[""amazon.nova-pro-v1:0"", ""kimi-k2-0711-preview""]",42,14
"[""amazon.nova-pro-v1:0"", ""llama-3.3-70b-instruct""]",59,33
